电影名称,导演,主演,评分,评价人数,quote,pic
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,8.8,862316人评价,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
消失的爱人,大卫·芬奇 David Fincher,本·阿弗莱克,8.7,1070148人评价,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
无人知晓,是枝裕和 Hirokazu Koreeda,柳乐优弥,9.1,371149人评价,我的平常生活就是他人的幸福。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
倩女幽魂,程小东 Siu-Tung Ching,张国荣,8.8,833864人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.jpg
傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉,8.7,929726人评价,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
花样年华,王家卫 Kar Wai Wong,张曼玉,8.8,802007人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.jpg
新世界,朴勋政 Hoon-jung Park,李政宰,8.9,525409人评价,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯,8.9,590799人评价,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳,9.1,359267人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德,8.9,566927人评价,惠及一生的美丽。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
阳光灿烂的日子,姜文 Wen Jiang,夏雨,8.8,694070人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
色，戒,李安 Ang Lee,梁朝伟,8.7,957815人评价,假戏真情，爱欲深海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
小森林 夏秋篇,森淳一 Junichi Mori,桥本爱,9.0,472341人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232317770.jpg
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,8.8,768281人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图,8.7,1019473人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺,9.0,430966人评价,NAN,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
侧耳倾听,近藤喜文 Yoshifumi Kondo,本名阳子,8.9,519400人评价,NAN,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖,9.2,307414人评价,NAN,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
九品芝麻官,王晶 Jing Wong,周星驰,8.8,791693人评价,NAN,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
